<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;30;12/02/21;103000;496.3500000
ROSN;30;12/02/21;110000;496.2000000
ROSN;30;12/02/21;113000;494.3500000
ROSN;30;12/02/21;120000;489.9000000
ROSN;30;12/02/21;123000;492.3000000
ROSN;30;12/02/21;130000;494.0500000
ROSN;30;12/02/21;133000;497.0000000
ROSN;30;12/02/21;140000;496.4500000
ROSN;30;12/02/21;143000;499.6500000
ROSN;30;12/02/21;150000;498.9000000
ROSN;30;12/02/21;153000;499.5500000
ROSN;30;12/02/21;160000;498.8000000
ROSN;30;12/02/21;163000;499.2000000
ROSN;30;12/02/21;170000;502.7000000
ROSN;30;12/02/21;173000;501.3500000
ROSN;30;12/02/21;180000;502.3500000
ROSN;30;12/02/21;183000;502.1500000
ROSN;30;12/02/21;190000;504.1500000
ROSN;30;12/02/21;193000;505.2000000
ROSN;30;12/02/21;200000;505.2500000
ROSN;30;12/02/21;203000;507.0000000
ROSN;30;12/02/21;210000;506.1000000
ROSN;30;12/02/21;213000;506.0500000
ROSN;30;12/02/21;220000;506.1000000
ROSN;30;12/02/21;223000;505.2500000
ROSN;30;12/02/21;230000;505.7000000
ROSN;30;12/02/21;233000;507.4000000
ROSN;30;13/02/21;000000;509.3500000
