Метод;Описание
between(cleft,cright);Поиск значения между cleft и cright
concat(column_two);Соединяет столбкц со столбцом 2
distinct();Вывод без повторов
in_([list]);Если значение находится в списке
is_(None);Проверка на пустое значение
contains(string);Если значение содержит подстроку (регистр)
endswith(string);Оканчивается на подстроку
like(string);Поиск по шаблону (зависит от регистра)
startswith(string);Начинается с
ilike(string);Поиск по шаблону (не зависит от регистра)
notlike, notin_ ...;имеются инверсии not<method>
isnot;Единственное исключение
